"id","name","deprecated","removed","category","tags","resources","web"
"hosts-file.net-psh","hpHosts Online phishing",false,false,"blacklist","phishing","domain","https://hosts-file.net"
"hosts-file.net-pup","hpHosts Online Potentially Unwanted Programs",false,false,"blacklist","malware","domain","https://hosts-file.net"
"interserver.net","InterServer BL",false,false,"blacklist","malware;spam;netscan","ip4","http://rbl.interserver.net/"
"isc.sans.edu-domains","SANS Internet Storm Center suspicious domains",false,false,"blacklist","reputation","domain","https://isc.sans.edu"
"malc0de.com","malc0de.com Malware ip list",false,false,"blacklist","malware","ip4","http://www.malc0de.com/"
"malwaredomainlist.com","Malware domain list",false,false,"blacklist","malware","ip4;domain","https://www.malwaredomainlist.com/"
"malwaredomains.com","DNS-BH Malware Domain Blocklist",false,false,"blacklist","malware","domain","http://www.malwaredomains.com/"
"myip.ms-full","my-ip.ms full database",false,false,"blacklist","reputation","ip4;ip6","https://myip.ms"
"myip.ms","my-ip.ms ",false,false,"blacklist","reputation","ip4;ip6","https://myip.ms"
"phishing.army","phishing.army",false,false,"blacklist","phishing","domain","https://phishing.army/"
"quidsup.net-malware","quidsup.net NoTrack blocklist malware",false,false,"blacklist","malware","domain","https://quidsup.net/notrack/"
"quidsup.net-notrack","quidsup.net NoTrack blocklist notrack",false,false,"blacklist","tracking","domain","https://quidsup.net/notrack/"
"rutgers.edu","rutgers.edu attackers",false,false,"blacklist","bruteforce","ip4","https://www.rutgers.edu"
"sblam.com","Sblam.com HTTP form spam",false,false,"blacklist","spam","ip4","https://sblam.com/"
"spamhaus.org-drop","Spamhaus Don't Route Or Peer Lists",false,false,"blacklist","hijacked","ip4;ip6","https://www.spamhaus.org/drop/"
"stopforumspam.com","stop forum spam",false,false,"blacklist","spam","ip4;domain","https://www.stopforumspam.com"
"talosintelligence.com","talosintelligence.com CISCO ip blacklist",false,false,"blacklist","reputation","ip4","https://www.talosintelligence.com"
"torstatus.blutmagie.de","torstatus.blutmagie.de tor status",false,false,"blacklist","torexit","ip4","https://torstatus.blutmagie.de"
"turris.cz","turris.cz greylist",false,false,"blacklist","reputation","ip4","https://www.turris.cz"
"uceprotect.net-level1","UCEPROTECT Network Project Level 1",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/en/index.php"
"uceprotect.net-level2","UCEPROTECT Network Project Level 2",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/en/index.php"
"uceprotect.net-level3","UCEPROTECT Network Project Level 3",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/en/index.php"
"urlvir.com","urlvir database",false,false,"blacklist","malware","ip4;domain","http://www.urlvir.com"
"voipbl.org","VoIP Blacklist",false,false,"blacklist","fraud;voip","ip4","http://www.voipbl.org"
"zerodot1-coinblockerlists","CoinBlockerLists by ZeroDot1",false,false,"blacklist","crypto","domain","https://zerodot1.gitlab.io/CoinBlockerListsWeb"
