"id","name","deprecated","removed","category","tags","resources","web"
"safebrowsing-malware","Google Safe Browsing - Malware, Unwanted software",false,false,"blacklist","malware","domain","https://safebrowsing.google.com/"
"safebrowsing-phishing","Google Safe Browsing - Phishing",false,false,"blacklist","phishing","domain","https://safebrowsing.google.com/"
